PERIL_ID,POSTALCODE,AMPLIFICATION_ID
WSS,LE13 0AA,112
WSS,LE13 0AB,100
WSS,LE13 0AD,112
WSS,LE13 0AE,100
WSS,LE13 0AF,78
WSS,LE13 0AG,112
WSS,LE13 0AH,111
WSS,LE13 0AJ,111
WSS,LE13 0AL,111
WSS,LE13 0AN,100
WSS,LE13 0AP,100
WSS,LE13 0AQ,112
WSS,LE13 0AR,100
WSS,LE13 0AS,101
WSS,LE13 0AT,111
WSS,LE13 0AU,75
WSS,LE13 0AW,99
WSS,LE13 0AX,76
WSS,LE13 0AY,76
WSS,LE13 0AZ,123
WSS,LE13 0BA,75
WSS,LE13 0BB,75
WSS,LE13 0BD,75
WSS,LE13 0BE,87
WSS,LE13 0BF,78
WSS,LE13 0BG,89
WSS,LE13 0BH,77
WSS,LE13 0BJ,88
WSS,LE13 0BL,73
WSS,LE13 0BN,54
WSS,LE13 0BP,89
WSS,LE13 0BQ,88
WSS,LE13 0BS,77
WSS,LE13 0BT,89
WSS,LE13 0BU,76
WSS,LE13 0BX,88
WSS,LE13 0BY,111
WSS,LE13 0BZ,54
WSS,LE13 0DA,66
WSS,LE13 0DB,29
WSS,LE13 0DD,66
WSS,LE13 0DE,66
WSS,LE13 0DG,28
WSS,LE13 0DJ,87
WSS,LE13 0DL,99
WSS,LE13 0DN,87
WSS,LE13 0DP,76
WSS,LE13 0DR,64
WSS,LE13 0DS,76
WSS,LE13 0DT,87
WSS,LE13 0DU,76
WSS,LE13 0DW,99
WSS,LE13 0DX,76
WSS,LE13 0DY,76
WSS,LE13 0DZ,78
WSS,LE13 0EA,76
WSS,LE13 0EB,89
WSS,LE13 0ED,89
WSS,LE13 0EE,77
WSS,LE13 0EF,64
WSS,LE13 0EG,65
WSS,LE13 0EH,65
WSS,LE13 0EJ,77
WSS,LE13 0EL,65
WSS,LE13 0EN,65
WSS,LE13 0EP,65
WSS,LE13 0EQ,53
WSS,LE13 0ER,53
WSS,LE13 0ES,52
WSS,LE13 0ET,52
WSS,LE13 0EU,52
WSS,LE13 0EW,64
WSS,LE13 0EX,53
WSS,LE13 0EY,65
WSS,LE13 0EZ,65
WSS,LE13 0FA,41
WSS,LE13 0FD,64
WSS,LE13 0FE,52
WSS,LE13 0FF,52
WSS,LE13 0FG,51
WSS,LE13 0FH,51
WSS,LE13 0FJ,51
WSS,LE13 0FL,64
WSS,LE13 0FP,52
WSS,LE13 0FQ,52
WSS,LE13 0FR,51
WSS,LE13 0FS,52
WSS,LE13 0FT,52
WSS,LE13 0FU,52
WSS,LE13 0FW,64
WSS,LE13 0FX,63
WSS,LE13 0FY,51
WSS,LE13 0FZ,63
WSS,LE13 0GB,54
WSS,LE13 0GE,66
WSS,LE13 0GF,66
WSS,LE13 0GG,66
WSS,LE13 0GH,66
WSS,LE13 0GJ,57
WSS,LE13 0GL,66
WSS,LE13 0GN,88
WSS,LE13 0GX,22
WSS,LE13 0HA,53
WSS,LE13 0HB,65
WSS,LE13 0HD,65
WSS,LE13 0HE,65
WSS,LE13 0HF,65
WSS,LE13 0HG,77
WSS,LE13 0HH,77
WSS,LE13 0HJ,79
WSS,LE13 0HL,67
WSS,LE13 0HN,67
WSS,LE13 0HP,43
WSS,LE13 0HQ,77
WSS,LE13 0HR,79
WSS,LE13 0HS,55
WSS,LE13 0HT,55
WSS,LE13 0HU,31
WSS,LE13 0HW,55
WSS,LE13 0HX,31
WSS,LE13 0HY,79
WSS,LE13 0HZ,79
WSS,LE13 0JA,43
WSS,LE13 0JB,67
WSS,LE13 0JD,55
WSS,LE13 0JE,67
WSS,LE13 0JF,43
WSS,LE13 0JG,31
WSS,LE13 0JH,44
WSS,LE13 0JJ,43
WSS,LE13 0JL,56
WSS,LE13 0JN,111
WSS,LE13 0JP,123
WSS,LE13 0JQ,56
WSS,LE13 0JR,111
WSS,LE13 0JS,111
WSS,LE13 0JT,111
WSS,LE13 0JU,31
WSS,LE13 0JW,111
WSS,LE13 0JX,44
WSS,LE13 0JY,56
WSS,LE13 0JZ,44
WSS,LE13 0LA,56
WSS,LE13 0LB,56
WSS,LE13 0LD,56
WSS,LE13 0LE,68
WSS,LE13 0LF,69
WSS,LE13 0LG,57
WSS,LE13 0LH,56
WSS,LE13 0LJ,68
WSS,LE13 0LL,56
WSS,LE13 0LN,68
WSS,LE13 0LP,56
WSS,LE13 0LQ,56
WSS,LE13 0LR,41
WSS,LE13 0LS,54
WSS,LE13 0LT,66
WSS,LE13 0LU,55
WSS,LE13 0LW,56
WSS,LE13 0LX,88
WSS,LE13 0LY,57
WSS,LE13 0LZ,43
WSS,LE13 0NA,59
WSS,LE13 0NB,69
WSS,LE13 0ND,80
WSS,LE13 0NE,58
WSS,LE13 0NF,81
WSS,LE13 0NG,70
WSS,LE13 0NH,57
WSS,LE13 0NJ,69
WSS,LE13 0NL,58
WSS,LE13 0NN,58
WSS,LE13 0NP,80
WSS,LE13 0NQ,57
WSS,LE13 0NR,69
WSS,LE13 0NS,70
WSS,LE13 0NT,69
WSS,LE13 0NU,71
WSS,LE13 0NW,69
WSS,LE13 0NX,48
WSS,LE13 0NY,69
WSS,LE13 0NZ,80
WSS,LE13 0PA,81
WSS,LE13 0PD,69
WSS,LE13 0PE,59
WSS,LE13 0PF,47
WSS,LE13 0PG,59
WSS,LE13 0PH,81
WSS,LE13 0PJ,81
WSS,LE13 0PL,81
WSS,LE13 0PN,90
WSS,LE13 0PP,91
WSS,LE13 0PQ,93
WSS,LE13 0PR,90
WSS,LE13 0PT,90
WSS,LE13 0PU,91
WSS,LE13 0PW,90
WSS,LE13 0PX,81
WSS,LE13 0PY,47
WSS,LE13 0QA,81
WSS,LE13 0QB,64
WSS,LE13 0QD,64
WSS,LE13 0QE,63
WSS,LE13 0QF,63
WSS,LE13 0QG,63
WSS,LE13 0QH,101
WSS,LE13 0QJ,101
WSS,LE13 0QN,88
WSS,LE13 0QP,87
WSS,LE13 0QQ,63
WSS,LE13 0QR,87
WSS,LE13 0QS,88
WSS,LE13 0QT,101
WSS,LE13 0QU,101
WSS,LE13 0QW,88
WSS,LE13 0QX,88
WSS,LE13 0QY,88
WSS,LE13 0QZ,87
WSS,LE13 0RA,87
WSS,LE13 0RB,88
WSS,LE13 0RD,89
WSS,LE13 0RE,101
WSS,LE13 0RF,88
WSS,LE13 0RG,15
WSS,LE13 0RJ,123
WSS,LE13 0RN,30
WSS,LE13 0RQ,27
WSS,LE13 0RW,67
WSS,LE13 0SA,58
WSS,LE13 0SB,58
WSS,LE13 0SD,58
WSS,LE13 0SE,57
WSS,LE13 0SF,58
WSS,LE13 0SG,45
WSS,LE13 0SH,45
WSS,LE13 0SJ,57
WSS,LE13 0SN,57
WSS,LE13 0SP,45
WSS,LE13 0SQ,57
WSS,LE13 0SR,45
WSS,LE13 0SS,58
WSS,LE13 0ST,69
WSS,LE13 0SU,46
WSS,LE13 0SW,46
WSS,LE13 0SX,46
WSS,LE13 0SY,46
WSS,LE13 0SZ,46
WSS,LE13 0TA,57
