LocID,PerilID,CoverageTypeID,Message
68,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
69,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
70,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
71,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
72,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
73,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
74,1,1,Successful peril area lookup: 36; Vulnerability lookup: invalid key column value(s) for location
75,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
76,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
77,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
78,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
79,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
80,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
81,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
82,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
83,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
84,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
85,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
86,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
87,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
88,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
89,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
90,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
91,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
92,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
93,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
94,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
95,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
96,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
97,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
98,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
99,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
100,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
101,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
102,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
103,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
104,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
105,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
106,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
107,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
108,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
109,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
110,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
111,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
112,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
113,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
114,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
115,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
116,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
117,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
118,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
119,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
120,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
