event_id,areaperil_id,intensity_bin_id,probability
1,10,1,1.0
1,12,2,1.0
1,34,2,1.0
1,36,3,1.0
1,42,3,1.0
1,44,4,1.0
1,130,5,1.0
1,132,5,1.0
1,14,1,1.0
1,16,2,1.0
1,38,2,1.0
1,40,3,1.0
1,46,3,1.0
1,48,4,1.0
1,134,5,1.0
1,136,5,1.0
1,26,1,1.0
1,28,2,1.0
1,50,2,1.0
1,52,3,1.0
1,58,3,1.0
1,60,4,1.0
1,146,4,1.0
1,148,5,1.0
1,30,1,1.0
1,32,2,1.0
1,54,2,1.0
1,56,3,1.0
1,62,3,1.0
1,64,4,1.0
1,150,5,1.0
1,152,5,1.0
1,74,1,1.0
1,76,2,1.0
1,98,2,1.0
1,100,3,1.0
1,106,3,1.0
1,108,4,1.0
1,194,5,1.0
1,196,5,1.0
1,78,1,1.0
1,80,2,1.0
1,102,2,1.0
1,104,3,1.0
1,110,3,1.0
1,112,4,1.0
1,198,5,1.0
1,200,5,1.0
1,90,1,1.0
1,92,2,1.0
1,114,2,1.0
1,116,3,1.0
1,122,3,1.0
1,124,4,1.0
1,210,5,1.0
1,212,5,1.0
1,94,1,1.0
1,96,2,1.0
1,118,2,1.0
1,120,3,1.0
1,126,3,1.0
1,128,4,1.0
1,214,5,1.0
1,216,6,1.0
1,260,1,1.0
1,266,1,1.0
1,268,2,1.0
1,290,2,1.0
1,292,3,1.0
1,298,3,1.0
1,300,4,1.0
1,386,5,1.0
1,388,6,1.0
1,264,1,1.0
1,270,2,1.0
1,272,2,1.0
1,294,3,1.0
1,296,3,1.0
1,302,4,1.0
1,304,4,1.0
1,390,5,1.0
1,392,6,1.0
1,27,30,1.0
1,33,31,1.0
1,99,31,1.0
1,81,32,1.0
1,123,32,1.0
1,129,33,1.0
1,387,34,1.0
1,393,35,1.0
2,2,11,1.0
2,4,12,1.0
2,10,13,1.0
2,12,14,1.0
2,34,15,1.0
2,36,16,1.0
2,42,16,1.0
2,44,15,1.0
2,130,14,1.0
2,132,13,1.0
2,6,11,1.0
2,8,12,1.0
2,14,13,1.0
2,16,14,1.0
2,38,16,1.0
2,40,17,1.0
2,46,17,1.0
2,48,16,1.0
2,134,14,1.0
2,136,13,1.0
2,18,11,1.0
2,20,12,1.0
2,26,13,1.0
2,28,14,1.0
2,50,15,1.0
2,52,17,1.0
2,58,17,1.0
2,60,16,1.0
2,146,14,1.0
2,148,13,1.0
2,22,10,1.0
2,24,11,1.0
2,30,12,1.0
2,32,14,1.0
2,54,15,1.0
2,56,16,1.0
2,62,16,1.0
2,64,15,1.0
2,150,14,1.0
2,152,13,1.0
2,66,10,1.0
2,68,11,1.0
2,74,12,1.0
2,76,13,1.0
2,98,14,1.0
2,100,14,1.0
2,106,16,1.0
2,108,16,1.0
2,194,14,1.0
2,196,13,1.0
2,70,10,1.0
2,72,10,1.0
2,78,11,1.0
2,80,12,1.0
2,102,13,1.0
2,104,14,1.0
2,110,16,1.0
2,112,16,1.0
2,198,15,1.0
2,200,14,1.0
2,82,9,1.0
2,84,10,1.0
2,90,10,1.0
2,92,11,1.0
2,114,13,1.0
2,116,14,1.0
2,122,15,1.0
2,124,15,1.0
2,210,15,1.0
2,212,15,1.0
2,86,9,1.0
2,88,10,1.0
2,94,11,1.0
2,96,12,1.0
2,118,13,1.0
2,120,14,1.0
2,126,15,1.0
2,128,17,1.0
2,214,17,1.0
2,216,16,1.0
2,258,9,1.0
2,260,10,1.0
2,266,11,1.0
2,268,12,1.0
2,290,13,1.0
2,292,14,1.0
2,298,16,1.0
2,300,17,1.0
2,386,17,1.0
2,388,16,1.0
2,262,9,1.0
2,264,10,1.0
2,270,11,1.0
2,272,12,1.0
2,294,13,1.0
2,296,14,1.0
2,302,15,1.0
2,304,16,1.0
2,390,16,1.0
2,392,16,1.0
2,3,40,1.0
2,9,41,1.0
2,27,42,1.0
2,33,43,1.0
2,99,43,1.0
2,81,43,1.0
2,123,44,1.0
2,129,46,1.0
2,387,46,1.0
2,393,45,1.0
3,2,16,1.0
3,4,16,1.0
3,10,17,1.0
3,12,18,1.0
3,34,19,1.0
3,36,20,1.0
3,42,21,1.0
3,44,23,1.0
3,130,24,1.0
3,132,26,1.0
